6,tr_hbips_6_overall_num
2,tr_sub_1_percentage
6,tr_hbips_7_overall_num
6,tr_hbips_3_overall_den
19,tr_hbips_7_measure_description
3,tr_end_date
0,tr_hcp_numerator
2,tr_tob_2a_percentage
8,tr_hbips_2_measure_description
13,tr_peoc_assessed_response
15,tr_hcp_percentage
21,tr_sub_1_footnote
1,tr_sub_1_measure_description
0,tr_hcp_denominator
7,tr_hbips_2_overall_rate_per_1000
21,tr_hcp_footnote
5,tr_tob_2_footnote
7,tr_hbips_3_overall_rate_per_1000
10,tr_hbips_2_overall_footnote
1,tr_hbips_5_measure_description
5,tr_tob_2a_footnote
6,tr_imm_2_denominator
0,tr_hbips_5_overall_den
10,tr_hbips_7_overall_footnote
6,tr_hbips_6_overall_den
5,tr_fuh_7_footnote
0,tr_tob_2_2a__denominator
5,tr_hbips_5_overall_footnote
3,tr_fuh_measure_end_date
10,tr_ehr_use_footnote
13,tr_hie_response
10,tr_hbips_3_overall_footnote
8,tr_hbips_6_measure_description
6,tr_tob_1_denominator
2,tr_hbips_6_overall_percentage_of_total
1,tr_hcp_measure_description
1,tr_hie_measure_description
2,tr_imm_2_percentage
0,tr_tob_2_numerator
10,tr_hie_footnote
12,tr_provider_number
19,tr_ehr_use_response
0,tr_fuh_7_denominator
2,tr_tob_2_percentage
19,tr_peoc_measure_description
2,tr_hbips_5_overall_percentage_of_total
10,tr_hbips_6_overall_footnote
21,tr_zip_code
22,tr_tob_2_2a_measure_desc
14,tr_state
0,tr_tob_2a_numerator
17,tr_hbips_2_overall_num
24,tr_address
21,tr_tob_1_footnote
3,tr_flu_season_end_date
2,tr_fuh_7_percentage
2,tr_fuh_30_percentage
19,tr_ehr_use_measure_description
11,tr_fuh_measure_description
0,tr_fuh_30_numerator
17,tr_hbips_3_overall_num
2,tr_tob_1_percentage
6,tr_tob_1_numerator
0,tr_fuh_30_denominator
1,tr_hbips_3_measure_description
1,tr_hospital_name
6,tr_hbips_2_overall_den
6,tr_hbips_7_overall_den
0,tr_hbips_5_overall_num
21,tr_imm_2_footnote
3,tr_flu_season_start_date
6,tr_imm_2_numerator
13,tr_country_name
3,tr_fuh_measure_start_date
3,tr_start_date
6,tr_sub_1_numerator
1,tr_tob_1_measure_description
0,tr_tob_2_2a_denominator
13,tr_city
5,tr_fuh_30_footnote
6,tr_sub_1_denominator
0,tr_fuh_7_numerator
1,tr_imm_2_measure_description
10,tr_peoc_assessed_footnote
2,tr_hbips_7_overall_percentage_of_total
