Cluster ID,Attribute,Dim_x,Dim_y
40,address,-158770.661,85944.2557
34,ehr_use_footnote,-157838.2352,-112034.4438
45,ehr_use_measure_description,-159385.1604,216454.1736
39,ehr_use_response,-158794.6183,91032.419
47,end_date,-157840.6915,-111567.7111
47,flu_season_end_date,-157840.6915,-111567.7111
47,flu_season_start_date,-157840.6915,-111567.7111
13,fuh_30_denominator,-158036.5687,-69965.3028
27,fuh_30_footnote,-157838.0498,-112073.6902
13,fuh_30_numerator,-158026.6534,-72071.15541
12,fuh_7_denominator,-158098.5809,-56794.90097
27,fuh_7_footnote,-157837.9142,-112102.4898
12,fuh_7_numerator,-158083.2925,-60041.91383
47,fuh_measure_end_date,-157840.6915,-111567.7111
47,fuh_measure_start_date,-157840.6915,-111567.7111
38,hbips_2_measure_description,-159248.5619,187442.8194
13,hbips_2_overall_den,-158039.4491,-69353.54676
27,hbips_2_overall_footnote,-157838.1229,-112036.2828
13,hbips_2_overall_num,-158013.6084,-74841.7044
5,hbips_2_overall_rate_per_1000,-157989.4572,-79971.04362
40,hbips_3_measure_description,-158656.635,61726.95129
13,hbips_3_overall_den,-158038.9506,-69459.42766
27,hbips_3_overall_footnote,-157838.1202,-112036.8476
4,hbips_3_overall_num,-157985.7181,-80765.14998
37,hbips_5_measure_description,-161843.9333,738658.5489
27,hbips_5_overall_footnote,-157837.5186,-112164.4693
48,hbips_5_overall_percentage_of_total,-158294.8096,-15119.02011
3,hbips_6_overall_den,-157984.361,-81053.3812
34,hbips_6_overall_footnote,-157838.1218,-112036.5652
12,hbips_6_overall_percentage_of_total,-158123.7846,-51442.03552
27,hcp_footnote,-157838.0796,-112045.4592
45,hcp_measure_description,-159749.423,293817.7848
34,hie_footnote,-157838.2352,-112034.4438
45,hie_measure_description,-160204.7513,390522.2987
38,hospital_name,-159129.5782,162172.5888
5,imm_2_denominator,-157994.7472,-78847.53012
27,imm_2_footnote,-157838.0795,-112045.4592
38,imm_2_measure_description,-158838.7664,100408.7569
5,imm_2_numerator,-157988.1277,-80253.39252
19,imm_2_percentage,-158131.4287,-49818.52909
34,peoc_assessed_footnote,-157838.2352,-112034.4438
45,peoc_measure_description,-159658.3574,274476.882
47,start_date,-157840.6915,-111567.7111
5,sub_1_denominator,-157992.6976,-79282.81806
27,sub_1_footnote,-157838.0934,-112042.4945
32,sub_1_measure_description,-158793.2335,90738.30546
5,sub_1_numerator,-157989.4572,-79971.04362
19,sub_1_percentage,-158131.678,-49765.58864
5,tob_1_denominator,-157988.1,-80259.27484
27,tob_1_footnote,-157838.1048,-112040.0946
32,tob_1_measure_description,-158793.2335,90738.30546
4,tob_1_numerator,-157986.5213,-80594.5642
19,tob_1_percentage,-158132.5643,-49577.356
12,tob_2_2a__denominator,-158091.3244,-58336.05556
13,tob_2_2a_denominator,-158034.6853,-70365.29714
45,tob_2_2a_measure_desc,-160022.62,351840.4931
27,tob_2_footnote,-157837.9739,-112067.7648
13,tob_2_numerator,-158024.133,-72606.44193
27,tob_2a_footnote,-157837.845,-112095.1526
12,tob_2a_numerator,-158070.3583,-62788.93375
