Cluster ID,Attribute,Dim_x,Dim_y
1,ehr_use_footnote,-157838.2352,-112034.4438
1,fuh_30_footnote,-157838.0498,-112073.6902
1,fuh_7_footnote,-157837.9142,-112102.4898
1,hbips_2_overall_footnote,-157838.1229,-112036.2828
1,hbips_2_overall_rate_per_1000,-157989.4572,-79971.04362
1,hbips_3_overall_footnote,-157838.1202,-112036.8476
1,hbips_3_overall_rate_per_1000,-157969.6819,-84170.98419
1,hbips_5_overall_footnote,-157837.5186,-112164.4693
1,hbips_6_overall_footnote,-157838.1218,-112036.5652
1,hbips_7_overall_footnote,-157838.1164,-112037.6946
1,hcp_footnote,-157838.0796,-112045.4592
1,hie_footnote,-157838.2352,-112034.4438
1,hie_response,-157949.9898,-88353.2779
1,imm_2_footnote,-157838.0795,-112045.4592
1,peoc_assessed_footnote,-157838.2352,-112034.4438
1,peoc_assessed_response,-157967.9925,-84529.80261
1,state,-157837.4132,-112263.9844
1,sub_1_footnote,-157838.0934,-112042.4945
1,tob_1_footnote,-157838.1048,-112040.0946
1,tob_2_footnote,-157837.9739,-112067.7648
1,tob_2a_footnote,-157837.845,-112095.1526
2,fuh_30_percentage,-158167.5725,-42142.16712
2,fuh_7_percentage,-158206.8183,-33806.99096
2,hbips_5_overall_percentage_of_total,-158294.8096,-15119.02011
2,hbips_6_overall_percentage_of_total,-158123.7846,-51442.03552
2,hbips_7_overall_percentage_of_total,-158121.7627,-51871.44124
2,imm_2_percentage,-158131.4287,-49818.52909
2,sub_1_percentage,-158131.678,-49765.58864
2,tob_1_percentage,-158132.5643,-49577.356
2,tob_2_percentage,-158160.2884,-43689.20402
2,tob_2a_percentage,-158191.1144,-37142.23787
3,fuh_30_denominator,-158036.5687,-69965.3028
3,fuh_30_numerator,-158026.6534,-72071.15541
3,fuh_7_denominator,-158098.5809,-56794.90097
3,fuh_7_numerator,-158083.2925,-60041.91383
3,hbips_5_overall_num,-158193.7733,-36577.53996
5,address,-158770.661,85944.2557
5,city,-158236.5919,-27483.55104
5,country_name,-158187.6801,-37871.63934
5,ehr_use_measure_description,-159385.1604,216454.1736
5,ehr_use_response,-158794.6183,91032.419
5,end_date,-157840.6915,-111567.7111
5,flu_season_end_date,-157840.6915,-111567.7111
5,flu_season_start_date,-157840.6915,-111567.7111
5,fuh_measure_end_date,-157840.6915,-111567.7111
5,fuh_measure_start_date,-157840.6915,-111567.7111
5,hbips_2_measure_description,-159248.5619,187442.8194
5,hbips_3_measure_description,-158656.635,61726.95129
5,hbips_5_measure_description,-161843.9333,738658.5489
5,hbips_6_measure_description,-159794.9558,303488.2361
5,hbips_7_measure_description,-162253.7288,825692.6114
5,hcp_measure_description,-159749.423,293817.7848
5,hie_measure_description,-160204.7513,390522.2987
5,hospital_name,-159129.5782,162172.5888
5,imm_2_measure_description,-158838.7664,100408.7569
5,peoc_measure_description,-159658.3574,274476.882
5,start_date,-157840.6915,-111567.7111
5,sub_1_measure_description,-158793.2335,90738.30546
5,tob_1_measure_description,-158793.2335,90738.30546
5,tob_2_2a_measure_desc,-160022.62,351840.4931
6,hbips_2_overall_num,-158013.6084,-74841.7044
6,hbips_3_overall_num,-157985.7181,-80765.14998
6,hbips_5_overall_den,-158196.0721,-36089.31157
6,hbips_6_overall_den,-157984.361,-81053.3812
6,hbips_6_overall_num,-157981.6745,-81623.96133
6,hbips_7_overall_den,-157986.5767,-80582.79966
6,hbips_7_overall_num,-157982.6162,-81423.96416
6,hcp_denominator,-157984.2779,-81071.02805
6,hcp_numerator,-157980.1789,-81941.60393
6,imm_2_denominator,-157994.7472,-78847.53012
6,imm_2_numerator,-157988.1277,-80253.39252
6,sub_1_denominator,-157992.6976,-79282.81806
6,sub_1_numerator,-157989.4572,-79971.04362
6,tob_1_denominator,-157988.1,-80259.27484
6,tob_1_numerator,-157986.5213,-80594.5642
6,tob_2_2a__denominator,-158091.3244,-58336.05556
6,tob_2_2a_denominator,-158034.6853,-70365.29714
6,tob_2_numerator,-158024.133,-72606.44193
6,tob_2a_numerator,-158070.3583,-62788.93375
7,hcp_percentage,-157962.287,-85741.55016
8,fuh_measure_description,-163938.4437,1183499.313
9,hbips_2_overall_den,-158039.4491,-69353.54676
9,hbips_3_overall_den,-158038.9506,-69459.42766
12,zip_code,312214.4012,-109956.6096
13,provider_number,12832650.67,5358.375614
