s_sub_1_numerator,0
hbips_3_overall_num,0
s_imm_2_numerator,0
s_tob_1_numerator,0
s_tob_2a_numerator,0
s_hbips_6_overall_den,0
s_hbips_5_overall_num,0
s_hbips_3_overall_num,0
s_imm_2_denominator,0
s_tob_2_2a__denominator,0
s_fuh_7_numerator,0
s_tob_2_2a_denominator,0
s_fuh_30_numerator,0
s_sub_1_denominator,0
s_hbips_7_overall_num,0
s_hbips_6_overall_num,0
s_hcp_denominator,0
s_hbips_7_overall_den,0
s_fuh_7_denominator,0
s_hcp_numerator,0
s_tob_1_denominator,0
hbips_2_overall_num,0
s_hbips_5_overall_den,0
s_fuh_30_denominator,0
s_tob_2_numerator,0
s_hbips_2_overall_num,1
hcp_footnote,2
hbips_5_overall_footnote,2
hcp_percentage,2
s_hie_yes_count,2
tob_2_footnote,2
s_peoc_no_count,2
s_ehr_paper_percentage,2
imm_2_footnote,2
s_peoc_yes_count,2
s_ehr_certified_percentage,2
s_peoc_no_percentage,2
fuh_30_footnote,2
s_hie_no_count,2
s_peoc_yes_percentage,2
fuh_7_footnote,2
s_ehr_certified_count,2
tob_2a_footnote,2
s_ehr_paper_count,2
s_ehr_non_certified_percentage,2
hbips_6_measure_description,4
s_hbips_6_measure_description,4
hbips_2_measure_description,4
s_hbips_2_measure_description,4
s_fuh_measure_description,5
fuh_measure_description,5
hbips_6_overall_num,7
fuh_30_denominator,7
hbips_3_overall_den,7
sub_1_numerator,7
hcp_denominator,7
imm_2_denominator,7
tob_1_denominator,7
hbips_7_overall_num,7
imm_2_numerator,7
hbips_2_overall_den,7
fuh_7_denominator,7
fuh_7_numerator,7
tob_2_2a_denominator,7
tob_2_numerator,7
fuh_30_numerator,7
tob_2_2a__denominator,7
hbips_5_overall_num,7
tob_2a_numerator,7
hcp_numerator,7
st_no,7
hbips_6_overall_den,7
sub_1_denominator,7
tob_1_numerator,7
hbips_5_overall_den,7
hbips_7_overall_den,7
s_hbips_3_overall_den,8
s_hbips_2_overall_den,8
provider_number,8
zip_code,9
hie_response,10
city,10
peoc_assessed_response,10
country_name,10
hbips_5_measure_description,11
hbips_7_measure_description,11
s_hbips_5_measure_description,11
tob_2_2a_measure_desc,12
state,14
s_imm_2_measure_description,17
state,17
imm_2_measure_description,17
st_name,18
address,18
tob_2_2a_measure_desc,19
s_hbips_7_measure_description,19
flu_season_end_date,22
s_flu_season_start_date,22
end_date,22
s_fuh_measure_end_date,22
fuh_measure_end_date,22
s_flu_season_end_date,22
flu_season_start_date,22
fuh_measure_start_date,22
s_fuh_measure_start_date,22
start_date,22
hbips_3_overall_rate_per_1000,23
hbips_2_overall_rate_per_1000,23
s_hcp_measure_description,25
s_sub_1_measure_description,25
s_tob_1_measure_description,25
peoc_measure_description,25
ehr_use_measure_description,25
ehr_use_response,25
s_hie_measure_description,25
tob_1_measure_description,25
hbips_3_measure_description,25
s_ehr_use_measure_description,25
hie_measure_description,25
hcp_measure_description,25
sub_1_measure_description,25
s_hbips_3_measure_description,25
hospital_name,25
s_peoc_measure_description,25
imm_2_percentage,30
hbips_7_overall_percentage_of_total,30
s_tob_2_percentage,30
s_tob_2a_percentage,30
hbips_6_overall_footnote,30
hbips_3_overall_footnote,30
s_imm_2_percentage,30
hbips_5_overall_percentage_of_total,30
s_fuh_30_percentage,30
s_tob_1_percentage,30
s_fuh_7_percentage,30
s_hbips_5_overall_percentage_of_total,30
tob_2_percentage,30
s_hbips_7_overall_percentage_of_total,30
s_hcp_percentage,30
fuh_7_percentage,30
ehr_use_footnote,30
tob_1_footnote,30
fuh_30_percentage,30
sub_1_percentage,30
s_sub_1_percentage,30
sub_1_footnote,30
s_ehr_non_certified_count,30
s_hbips_6_overall_percentage_of_total,30
hbips_7_overall_footnote,30
hbips_2_overall_footnote,30
peoc_assessed_footnote,30
hie_footnote,30
tob_2a_percentage,30
s_hie_no_percent,31
s_hie_yes_percent,31
s_hbips_3_overall_rate_per_1000,31
hbips_6_overall_percentage_of_total,31
s_hbips_2_overall_rate_per_1000,31
tob_1_percentage,31
