number,attribute
18,tr_hbips_6_overall_num
6,tr_sub_1_percentage
18,tr_hbips_7_overall_num
12,tr_hbips_3_overall_den
28,tr_hbips_7_measure_description
3,tr_end_date
35,tr_hcp_numerator
43,tr_tob_2a_percentage
11,tr_hbips_2_measure_description
33,tr_peoc_assessed_response
25,tr_hcp_percentage
38,tr_sub_1_footnote
4,tr_sub_1_measure_description
35,tr_hcp_denominator
32,tr_hbips_2_overall_rate_per_1000
1,tr_hcp_footnote
46,tr_tob_2_footnote
5,tr_hbips_3_overall_rate_per_1000
47,tr_hbips_2_overall_footnote
4,tr_hbips_5_measure_description
8,tr_tob_2a_footnote
40,tr_imm_2_denominator
39,tr_hbips_5_overall_den
17,tr_hbips_7_overall_footnote
42,tr_hbips_6_overall_den
8,tr_fuh_7_footnote
2,tr_tob_2_2a__denominator
27,tr_hbips_5_overall_footnote
3,tr_fuh_measure_end_date
36,tr_ehr_use_footnote
7,tr_hie_response
47,tr_hbips_3_overall_footnote
26,tr_hbips_6_measure_description
42,tr_tob_1_denominator
6,tr_hbips_6_overall_percentage_of_total
37,tr_hcp_measure_description
4,tr_hie_measure_description
6,tr_imm_2_percentage
49,tr_tob_2_numerator
36,tr_hie_footnote
9,tr_provider_number
29,tr_ehr_use_response
2,tr_fuh_7_denominator
6,tr_tob_2_percentage
30,tr_peoc_measure_description
43,tr_hbips_5_overall_percentage_of_total
17,tr_hbips_6_overall_footnote
20,tr_zip_code
16,tr_tob_2_2a_measure_desc
10,tr_state
2,tr_tob_2a_numerator
31,tr_hbips_2_overall_num
15,tr_address
38,tr_tob_1_footnote
3,tr_flu_season_end_date
34,tr_fuh_7_percentage
6,tr_fuh_30_percentage
19,tr_ehr_use_measure_description
0,tr_fuh_measure_description
41,tr_fuh_30_numerator
13,tr_hbips_3_overall_num
6,tr_tob_1_percentage
42,tr_tob_1_numerator
49,tr_fuh_30_denominator
44,tr_hbips_3_measure_description
14,tr_hospital_name
12,tr_hbips_2_overall_den
42,tr_hbips_7_overall_den
39,tr_hbips_5_overall_num
1,tr_imm_2_footnote
3,tr_flu_season_start_date
48,tr_imm_2_numerator
45,tr_country_name
3,tr_fuh_measure_start_date
3,tr_start_date
18,tr_sub_1_numerator
4,tr_tob_1_measure_description
23,tr_tob_2_2a_denominator
21,tr_city
22,tr_fuh_30_footnote
18,tr_sub_1_denominator
41,tr_fuh_7_numerator
24,tr_imm_2_measure_description
36,tr_peoc_assessed_footnote
6,tr_hbips_7_overall_percentage_of_total
