number,attribute
16,tr_hbips_6_overall_num
6,tr_sub_1_percentage
16,tr_hbips_7_overall_num
30,tr_hbips_3_overall_den
26,tr_hbips_7_measure_description
3,tr_end_date
2,tr_hcp_numerator
6,tr_tob_2a_percentage
29,tr_hbips_2_measure_description
22,tr_peoc_assessed_response
25,tr_hcp_percentage
23,tr_sub_1_footnote
21,tr_sub_1_measure_description
2,tr_hcp_denominator
34,tr_hbips_2_overall_rate_per_1000
23,tr_hcp_footnote
19,tr_tob_2_footnote
4,tr_hbips_3_overall_rate_per_1000
1,tr_hbips_2_overall_footnote
21,tr_hbips_5_measure_description
5,tr_tob_2a_footnote
16,tr_imm_2_denominator
32,tr_hbips_5_overall_den
1,tr_hbips_7_overall_footnote
16,tr_hbips_6_overall_den
5,tr_fuh_7_footnote
32,tr_tob_2_2a__denominator
20,tr_hbips_5_overall_footnote
3,tr_fuh_measure_end_date
28,tr_ehr_use_footnote
22,tr_hie_response
1,tr_hbips_3_overall_footnote
10,tr_hbips_6_measure_description
16,tr_tob_1_denominator
6,tr_hbips_6_overall_percentage_of_total
13,tr_hcp_measure_description
21,tr_hie_measure_description
6,tr_imm_2_percentage
15,tr_tob_2_numerator
28,tr_hie_footnote
8,tr_provider_number
0,tr_ehr_use_response
32,tr_fuh_7_denominator
6,tr_tob_2_percentage
27,tr_peoc_measure_description
6,tr_hbips_5_overall_percentage_of_total
1,tr_hbips_6_overall_footnote
18,tr_zip_code
14,tr_tob_2_2a_measure_desc
11,tr_state
32,tr_tob_2a_numerator
12,tr_hbips_2_overall_num
17,tr_address
23,tr_tob_1_footnote
3,tr_flu_season_end_date
33,tr_fuh_7_percentage
6,tr_fuh_30_percentage
27,tr_ehr_use_measure_description
9,tr_fuh_measure_description
15,tr_fuh_30_numerator
31,tr_hbips_3_overall_num
6,tr_tob_1_percentage
16,tr_tob_1_numerator
15,tr_fuh_30_denominator
21,tr_hbips_3_measure_description
24,tr_hospital_name
30,tr_hbips_2_overall_den
16,tr_hbips_7_overall_den
32,tr_hbips_5_overall_num
23,tr_imm_2_footnote
3,tr_flu_season_start_date
15,tr_imm_2_numerator
7,tr_country_name
3,tr_fuh_measure_start_date
3,tr_start_date
16,tr_sub_1_numerator
21,tr_tob_1_measure_description
15,tr_tob_2_2a_denominator
7,tr_city
19,tr_fuh_30_footnote
16,tr_sub_1_denominator
15,tr_fuh_7_numerator
13,tr_imm_2_measure_description
28,tr_peoc_assessed_footnote
6,tr_hbips_7_overall_percentage_of_total
