number,attribute
38,tr_hbips_6_overall_num
6,tr_sub_1_percentage
38,tr_hbips_7_overall_num
32,tr_hbips_3_overall_den
23,tr_hbips_7_measure_description
3,tr_end_date
31,tr_hcp_numerator
43,tr_tob_2a_percentage
28,tr_hbips_2_measure_description
37,tr_peoc_assessed_response
24,tr_hcp_percentage
39,tr_sub_1_footnote
4,tr_sub_1_measure_description
31,tr_hcp_denominator
5,tr_hbips_2_overall_rate_per_1000
1,tr_hcp_footnote
22,tr_tob_2_footnote
35,tr_hbips_3_overall_rate_per_1000
20,tr_hbips_2_overall_footnote
4,tr_hbips_5_measure_description
9,tr_tob_2a_footnote
16,tr_imm_2_denominator
40,tr_hbips_5_overall_den
20,tr_hbips_7_overall_footnote
16,tr_hbips_6_overall_den
9,tr_fuh_7_footnote
29,tr_tob_2_2a__denominator
21,tr_hbips_5_overall_footnote
3,tr_fuh_measure_end_date
15,tr_ehr_use_footnote
27,tr_hie_response
20,tr_hbips_3_overall_footnote
0,tr_hbips_6_measure_description
16,tr_tob_1_denominator
6,tr_hbips_6_overall_percentage_of_total
33,tr_hcp_measure_description
4,tr_hie_measure_description
6,tr_imm_2_percentage
2,tr_tob_2_numerator
15,tr_hie_footnote
8,tr_provider_number
25,tr_ehr_use_response
29,tr_fuh_7_denominator
6,tr_tob_2_percentage
36,tr_peoc_measure_description
43,tr_hbips_5_overall_percentage_of_total
20,tr_hbips_6_overall_footnote
19,tr_zip_code
11,tr_tob_2_2a_measure_desc
13,tr_state
29,tr_tob_2a_numerator
10,tr_hbips_2_overall_num
12,tr_address
39,tr_tob_1_footnote
3,tr_flu_season_end_date
34,tr_fuh_7_percentage
6,tr_fuh_30_percentage
18,tr_ehr_use_measure_description
14,tr_fuh_measure_description
2,tr_fuh_30_numerator
30,tr_hbips_3_overall_num
6,tr_tob_1_percentage
16,tr_tob_1_numerator
2,tr_fuh_30_denominator
44,tr_hbips_3_measure_description
17,tr_hospital_name
32,tr_hbips_2_overall_den
16,tr_hbips_7_overall_den
40,tr_hbips_5_overall_num
1,tr_imm_2_footnote
3,tr_flu_season_start_date
41,tr_imm_2_numerator
7,tr_country_name
3,tr_fuh_measure_start_date
3,tr_start_date
38,tr_sub_1_numerator
4,tr_tob_1_measure_description
2,tr_tob_2_2a_denominator
42,tr_city
22,tr_fuh_30_footnote
38,tr_sub_1_denominator
2,tr_fuh_7_numerator
26,tr_imm_2_measure_description
15,tr_peoc_assessed_footnote
6,tr_hbips_7_overall_percentage_of_total
