number,attribute
18,tr_hbips_6_overall_num
6,tr_sub_1_percentage
18,tr_hbips_7_overall_num
0,tr_hbips_3_overall_den
27,tr_hbips_7_measure_description
3,tr_end_date
25,tr_hcp_numerator
6,tr_tob_2a_percentage
29,tr_hbips_2_measure_description
24,tr_peoc_assessed_response
28,tr_hcp_percentage
20,tr_sub_1_footnote
1,tr_sub_1_measure_description
25,tr_hcp_denominator
4,tr_hbips_2_overall_rate_per_1000
20,tr_hcp_footnote
14,tr_tob_2_footnote
4,tr_hbips_3_overall_rate_per_1000
2,tr_hbips_2_overall_footnote
1,tr_hbips_5_measure_description
23,tr_tob_2a_footnote
18,tr_imm_2_denominator
10,tr_hbips_5_overall_den
2,tr_hbips_7_overall_footnote
18,tr_hbips_6_overall_den
23,tr_fuh_7_footnote
10,tr_tob_2_2a__denominator
5,tr_hbips_5_overall_footnote
3,tr_fuh_measure_end_date
2,tr_ehr_use_footnote
24,tr_hie_response
2,tr_hbips_3_overall_footnote
12,tr_hbips_6_measure_description
18,tr_tob_1_denominator
6,tr_hbips_6_overall_percentage_of_total
1,tr_hcp_measure_description
1,tr_hie_measure_description
6,tr_imm_2_percentage
25,tr_tob_2_numerator
2,tr_hie_footnote
9,tr_provider_number
17,tr_ehr_use_response
10,tr_fuh_7_denominator
6,tr_tob_2_percentage
17,tr_peoc_measure_description
6,tr_hbips_5_overall_percentage_of_total
2,tr_hbips_6_overall_footnote
19,tr_zip_code
15,tr_tob_2_2a_measure_desc
11,tr_state
10,tr_tob_2a_numerator
13,tr_hbips_2_overall_num
16,tr_address
20,tr_tob_1_footnote
3,tr_flu_season_end_date
6,tr_fuh_7_percentage
6,tr_fuh_30_percentage
17,tr_ehr_use_measure_description
8,tr_fuh_measure_description
25,tr_fuh_30_numerator
26,tr_hbips_3_overall_num
6,tr_tob_1_percentage
18,tr_tob_1_numerator
25,tr_fuh_30_denominator
1,tr_hbips_3_measure_description
22,tr_hospital_name
0,tr_hbips_2_overall_den
18,tr_hbips_7_overall_den
10,tr_hbips_5_overall_num
20,tr_imm_2_footnote
3,tr_flu_season_start_date
25,tr_imm_2_numerator
7,tr_country_name
3,tr_fuh_measure_start_date
3,tr_start_date
18,tr_sub_1_numerator
1,tr_tob_1_measure_description
25,tr_tob_2_2a_denominator
7,tr_city
14,tr_fuh_30_footnote
18,tr_sub_1_denominator
25,tr_fuh_7_numerator
21,tr_imm_2_measure_description
2,tr_peoc_assessed_footnote
6,tr_hbips_7_overall_percentage_of_total
