number,attribute
24,tr_hbips_6_overall_num
5,tr_sub_1_percentage
24,tr_hbips_7_overall_num
28,tr_hbips_3_overall_den
20,tr_hbips_7_measure_description
2,tr_end_date
35,tr_hcp_numerator
5,tr_tob_2a_percentage
29,tr_hbips_2_measure_description
7,tr_peoc_assessed_response
27,tr_hcp_percentage
18,tr_sub_1_footnote
1,tr_sub_1_measure_description
35,tr_hcp_denominator
34,tr_hbips_2_overall_rate_per_1000
18,tr_hcp_footnote
15,tr_tob_2_footnote
4,tr_hbips_3_overall_rate_per_1000
3,tr_hbips_2_overall_footnote
1,tr_hbips_5_measure_description
6,tr_tob_2a_footnote
0,tr_imm_2_denominator
19,tr_hbips_5_overall_den
3,tr_hbips_7_overall_footnote
24,tr_hbips_6_overall_den
6,tr_fuh_7_footnote
37,tr_tob_2_2a__denominator
23,tr_hbips_5_overall_footnote
2,tr_fuh_measure_end_date
33,tr_ehr_use_footnote
39,tr_hie_response
3,tr_hbips_3_overall_footnote
12,tr_hbips_6_measure_description
24,tr_tob_1_denominator
5,tr_hbips_6_overall_percentage_of_total
38,tr_hcp_measure_description
1,tr_hie_measure_description
5,tr_imm_2_percentage
31,tr_tob_2_numerator
33,tr_hie_footnote
8,tr_provider_number
13,tr_ehr_use_response
37,tr_fuh_7_denominator
5,tr_tob_2_percentage
36,tr_peoc_measure_description
5,tr_hbips_5_overall_percentage_of_total
3,tr_hbips_6_overall_footnote
22,tr_zip_code
14,tr_tob_2_2a_measure_desc
11,tr_state
37,tr_tob_2a_numerator
30,tr_hbips_2_overall_num
17,tr_address
18,tr_tob_1_footnote
2,tr_flu_season_end_date
32,tr_fuh_7_percentage
5,tr_fuh_30_percentage
26,tr_ehr_use_measure_description
9,tr_fuh_measure_description
31,tr_fuh_30_numerator
10,tr_hbips_3_overall_num
5,tr_tob_1_percentage
24,tr_tob_1_numerator
31,tr_fuh_30_denominator
36,tr_hbips_3_measure_description
16,tr_hospital_name
28,tr_hbips_2_overall_den
24,tr_hbips_7_overall_den
19,tr_hbips_5_overall_num
18,tr_imm_2_footnote
2,tr_flu_season_start_date
0,tr_imm_2_numerator
25,tr_country_name
2,tr_fuh_measure_start_date
2,tr_start_date
24,tr_sub_1_numerator
1,tr_tob_1_measure_description
31,tr_tob_2_2a_denominator
25,tr_city
15,tr_fuh_30_footnote
24,tr_sub_1_denominator
31,tr_fuh_7_numerator
21,tr_imm_2_measure_description
33,tr_peoc_assessed_footnote
5,tr_hbips_7_overall_percentage_of_total
